Rank,Lemma,WeightedScore,RawCount
711,πωλέω,0.657320,53
712,διαχειρίζω,0.656507,24
713,ταξίαρχος,0.654486,19
714,ταχέως,0.654042,55
715,πλήσσω,0.650743,89
716,χορηγός,0.647028,47
717,τυρός,0.646253,10
718,Δεκελειότε,0.645432,2
719,Δεκειείη,0.645432,2
720,διαμαρτυρία,0.643134,29
721,μαθητής,0.642801,305
722,διαμάχομαι,0.642773,18
723,δικάζομαι,0.642728,10
724,κρέιττος,0.640939,47
725,βασιλεύω,0.639265,212
726,στασιάζω,0.639100,88
727,τρόπαια,0.637746,18
728,μαίνομαι,0.637021,83
729,καίπερ,0.635265,88
730,λιμήν,0.631064,177
731,προθυμέομαι,0.627886,60
732,Κόρινθος,0.627120,103
733,νυνός,0.625294,31
734,ταραχή,0.624962,89
735,κάτω,0.624925,102
736,πολιτικός,0.622268,82
737,περιείδω,0.620427,50
738,δυσχερής,0.620369,32
739,σκεπτέος,0.616909,30
740,δαπανάομαι,0.616628,9
741,ναύτης,0.616509,68
742,Παρμένων,0.616433,16
743,φακίζω,0.616268,44
744,λοιδορία,0.614569,48
745,μεταβάλλω,0.611107,73
746,γονεύς,0.610929,80
747,μέσος,0.609914,486
748,ταπεινός,0.608567,69
749,δαπάνη,0.608100,68
750,προσακούω,0.607839,34
751,ΝΟΜώγω,0.603457,34
752,Τιμόθεος,0.602898,69
753,δέδε,0.602267,4
754,διαμαρτύρω,0.601569,26
755,προσφέρω,0.601458,133
756,πρέπω,0.599615,90
757,βλασφημία,0.599519,65
758,συγγένεια,0.598864,26
759,πόνος,0.598433,183
760,βιόω,0.597327,76
761,βασιλεία,0.596612,320
762,προάγω,0.596349,83
763,πρεσβεύω,0.594007,70
764,ποιητός,0.593563,51
765,προσηκόντως,0.593411,30
766,πόα,0.592316,49
767,βιάω,0.592290,73
768,χαλκός,0.592159,292
769,προσγράφω,0.591139,60
770,γνησία,0.590983,29
771,κλαίω,0.590557,140
772,κατεργάζομαι,0.587726,99
773,Θρασύλοχος,0.587330,25
774,κακουργέω,0.586799,46
775,παρακατατίθημι,0.585276,18
776,χρεία,0.584235,123
777,χώριον,0.582841,64
778,τέκνον,0.580696,261
779,φιάλη,0.577990,74
780,μνημύς,0.577962,7
781,Βόσπορος,0.577943,36
782,πίνω,0.577647,229
783,καταβάλλω,0.576107,72
784,Πολέμων,0.575444,48
785,σχέτλιος,0.575203,73
786,κλάω,0.571724,53
787,Μενέξενος,0.570388,26
788,συκοφάντης,0.569509,48
789,χίλιος,0.569360,114
790,δυστυχία,0.566625,18
791,τριεραρχέω,0.565192,23
792,χορός,0.565114,74
793,μηδέτερος,0.565061,17
794,τελέω,0.564860,229
795,παρρησία,0.563286,71
796,καταχαρίζομαι,0.562877,8
797,φιλονικία,0.562042,17
798,Θράσυμαξ,0.561862,16
799,πλησίος,0.561692,85
800,τελευτή,0.561578,71
801,καταφανής,0.560643,39
802,μεταξύ,0.560199,135
803,θρασύς,0.555530,67
804,Πελοποννήσιοι,0.554596,332
805,μηκέτι,0.554271,98
806,συνάδομαι,0.553431,30
807,περιστηκόω,0.551570,7
808,βοήθεια,0.551334,87
809,περιειδέω,0.550816,10
810,Θηριππίδης,0.550611,22
811,Χαριάδης,0.550499,9
812,μητρυιά,0.549868,8
813,συνοιδαίω,0.548575,9
814,τάλας,0.548498,33
815,πικρός,0.548405,66
816,φυλάζω,0.547006,66
817,Μακεδόνες,0.546790,62
